,Name,StreetAddress,City,State,Zip,Phone,NumberofReviews,Rating,PriceRanges
0,A Baked Joint,None,Washington, ,20001,(202) 408-6985,511,4.5,$
1,Wicked Waffle,None,Washington, ,20006,(202) 944-2700,657,4.0,$
2,Moxie’s,None,Washington, ,20036,(202) 846-1479,39,4.5,$
3,Founding Farmers DC,None,Washington, ,20006,(202) 822-8783,8422,4.0,$$
4,Tabard Inn Restaurant,None,Washington, ,20036,(202) 331-8528,1366,4.0,$$
5,Busboys and Poets,None,Washington, ,20009,(202) 387-7638,1585,4.0,$$
6,Highlands,None,Washington, ,20011,(202) 829-6200,297,4.0,$
7,Old Ebbitt Grill,None,Washington, ,20005,(202) 347-4800,4953,4.0,$$
8,Brick Lane,None,Washington, ,20009,(202) 525-5309,100,4.0,$$
9,City Place Cafe,None,Washington, ,20036,(202) 466-4665,119,4.5,$
10,Ted’s Bulletin,None,Washington, ,20003,(202) 544-8337,1494,4.0,$$
11,Farmers Fishers Bakers,None,Washington, ,20007,(202) 298-8783,1816,4.0,$$
12,Sidamo Coffee and Tea,None,Washington, ,20002,(202) 548-0081,343,4.5,$
13,Tony’s Breakfast,None,Washington, ,20002,(202) 397-7750,134,4.0,$
14,Nerds & Nibblers,None,Washington, ,20005,(202) 331-3213,62,3.5,$
15,Mulebone,None,Washington, ,20009,(202) 332-9672,185,4.0,$$
16,Birch & Barley,None,Washington, ,20005,(202) 567-2576,917,4.0,$$$
17,Sunrise Cafe,None,Washington, ,20036,(202) 463-0032,104,4.0,$
18,Barrel,None,Washington, ,20003,(202) 543-3622,415,4.0,$$
19,Busboys and Poets,None,Washington, ,20001,(202) 789-2227,994,4.0,$$
20,Market Lunch,None,Washington, ,20003,(202) 547-8444,253,4.0,$$
21,Creperie,None,Washington, ,20005,,31,4.0,$
22,USDA Cafeteria,None,Washington, ,20250,(202) 720-6799,12,5.0,$
23,Lot 38 Espresso Bar,None,Washington, ,20003,(202) 758-0677,144,4.5,$
24,Red Derby,None,Washington, ,20010,(202) 291-5000,463,4.0,$
25,Pineapple & Pearls,None,Washington, ,20003,(202) 595-7375,99,4.5,$$$$
26,Beef N Bread,None,Washington, ,20001,(202) 393-0406,200,4.5,$
27,Carving Room,None,Washington, ,20001,(202) 525-2116,239,4.0,$$
28,Bagels Etc.,None,Washington, ,20037,(202) 466-7171,256,4.0,$
29,Bistro Bohem,None,Washington, ,20001,(202) 735-5895,265,4.0,$$
30,Uni Bistro,None,Washington, ,20002,(202) 675-2011,34,4.5,$$
31,Bread Furst,None,Washington, ,20008,(202) 765-1200,240,3.5,$$
32,Cafe Carvy,None,Washington, ,20036,(202) 223-1981,71,4.0,$
33,The Riggsby,None,Washington, ,20009,(202) 787-1500,145,4.0,$$$
34,Pleasant Pops,None,Washington, ,20005,(202) 347-0938,37,4.0,$
35,Murry & Paul’s Restaurant,None,Washington, ,20017,(202) 529-4078,61,4.0,$
36,Universal Doughnuts,None,Washington, ,20009,(202) 483-0600,28,4.0,$
37,Sally’s Middle Name,None,Washington, ,20002,(202) 750-6529,102,4.0,$$$
38,Bethesda Bagels,None,Washington, ,20009,(202) 299-9399,296,4.0,$
39,Beuchert’s Saloon,None,Washington, ,20003,(202) 733-1384,236,4.0,$$
40,Jimmy T’s Place,None,Washington, ,20003,,151,4.0,$
41,The Lafayette,None,Washington, ,20006,(202) 638-2570,59,4.0,$$$$
42,Tony’s Place,None,Washington, ,20011,(202) 829-0721,33,4.0,$
43,Commissary,None,Washington, ,20005,(202) 299-0018,801,3.5,$$
44,Firefly,None,Washington, ,20036,(202) 861-1310,859,3.5,$$
45,Level One,None,Washington, ,20009,(202) 745-0025,311,3.5,$$
46,The Coupe,None,Washington, ,20010,(202) 290-3342,681,3.5,$$
47,Pansaari,None,Washington, ,20009,(202) 847-0115,105,4.0,$$
48,"Red, White and Basil",None,Washington, ,20009,(202) 839-3068,108,3.5,$$
49,Uptowner Cafe,None,Washington, ,20037,(202) 775-0520,83,3.5,$
50,Galley Cafe,None,Washington, ,20036,(202) 939-0263,18,4.5,$
51,Pete’s Diner,None,Washington, ,20003,(202) 544-7335,202,3.5,$
52,Kramerbooks & Afterwords Cafe,None,Washington, ,20036,(202) 387-1462,1480,3.5,$$
53,BlackSalt,None,Washington, ,20007,(202) 342-9101,745,4.0,$$$
54,Martin’s Tavern,None,Washington, ,20007,(202) 333-7370,396,3.5,$$
55,NuVegan Café,None,Washington, ,20001,(202) 232-1700,591,4.5,$$
56,Scion Restaurant,None,Washington, ,20037,(202) 833-8899,571,3.5,$$
57,Cafe Kimchi,None,Washington, ,20003,(202) 847-3269,116,4.0,$
58,Pret A Manger,None,Washington, ,20006,(202) 403-2992,158,4.0,$
59,Bread & Chocolate,None,Washington, ,20037,(202) 833-8360,207,3.0,$$
60,Coppi’s Organic Restaurant,None,Washington, ,20008,(202) 966-0770,75,4.0,$$
61,Slim’s Diner,None,Washington, ,20011,(202) 783-0699,142,3.0,$$
62,Belga Cafe,None,Washington, ,20003,(202) 544-0100,880,3.5,$$
63,Policy,None,Washington, ,20009,(202) 387-7654,589,3.5,$$
64,Kapnos,None,Washington, ,20009,(202) 234-5000,547,4.0,$$$
65,Cafe Deluxe,None,Washington, ,20016,(202) 686-2233,271,3.5,$$
66,Luna Grill & Diner,None,Washington, ,20036,(202) 835-2280,427,3.5,$$
67,Busboys and Poets,None,Washington, ,20017,(202) 636-7230,116,3.5,$$
68,Crepe Lena,None,Washington, ,20002,(571) 331-3926,36,3.5,$
69,Beacon Bar and Grill,None,Washington, ,20036,(202) 753-4378,591,3.5,$$
