,name,street,city,state,zip,phone,reviews,rating,priceRange,Latitude,Longitude,County,Country,twitter_sentiment
0,A Baked Joint,440 K St NW,Washington,DC,20001,(202) 408-6985,492.0,4.5,10.0,38.902281,-77.01745799999998,District of Columbia,US,[0.0]
1,Wicked Waffle,1712 I St NW,Washington,DC,20006,(202) 944-2700,652.0,4.0,10.0,38.901136,-77.04006899999997,District of Columbia,US,[1.5909090909090908]
2,Moxie’s,1020 19th St NW,Washington,DC,20036,(202) 846-1479,36.0,4.5,10.0,38.903176,-77.043808,District of Columbia,US,[1.5909090909090908]
3,Founding Farmers DC,1924 Pennsylvania Ave NW,Washington,DC,20006,(202) 822-8783,8562.0,4.0,20.0,38.90028,-77.044415,District of Columbia,US,[1.5909090909090908]
4,Ted’s Bulletin,505 8th St SE,Washington,DC,20003,(202) 544-8337,1487.0,4.0,20.0,38.882458,-76.995336,District of Columbia,US,[0.0]
5,Highlands,4706 14th St NW,Washington,DC,20011,(202) 829-6200,299.0,4.0,10.0,38.947521,-77.033026,District of Columbia,US,[0.0]
6,Tabard Inn Restaurant,1739 N St NW,Washington,DC,20036,(202) 331-8528,1366.0,4.0,20.0,38.907392,-77.039486,District of Columbia,US,[1.5909090909090908]
7,Old Ebbitt Grill,675 15th St NW,Washington,DC,20005,(202) 347-4800,4956.0,4.0,20.0,38.898056,-77.03332900000002,District of Columbia,US,[1.5909090909090908]
8,Busboys and Poets,2021 14th St NW,Washington,DC,20009,(202) 387-7638,1587.0,4.0,20.0,38.917859,-77.03168000000002,District of Columbia,US,[0.0]
9,Tony’s Breakfast,1387 H St NE,Washington,DC,20002,(202) 397-7750,133.0,4.0,10.0,38.900047,-76.985864,District of Columbia,US,[0.0]
10,City Place Cafe,1101 17th St NW,Washington,DC,20036,(202) 466-4665,121.0,4.5,10.0,38.904048,-77.038129,District of Columbia,US,[1.5909090909090908]
11,Barrel,613 Pennsylvania Ave SE,Washington,DC,20003,(202) 543-3622,413.0,4.0,20.0,38.885008,-76.997915,District of Columbia,US,[0.0]
12,Farmers Fishers Bakers,3000 K St NW,Washington,DC,20007,(202) 298-8783,1804.0,4.0,20.0,38.910369,-77.05939000000002,District of Columbia,US,[0.0]
13,Sidamo Coffee and Tea,417 H St NE,Washington,DC,20002,(202) 548-0081,343.0,4.5,10.0,38.900053,-77.000408,District of Columbia,US,[0.0]
14,Market Lunch,225 7th St SE,Washington,DC,20003,(202) 547-8444,256.0,4.0,20.0,38.886413,-76.99646800000002,District of Columbia,US,[0.0]
